year_key,community_number_community_name_ar,id,load_timestamp,community_number_community_name_en,population
"null","243-القصيص الصناعية الثانية","239","2024-08-07 14:14:42","243-AL QUSAIS IND. SECOND","8834"
"null","618-ند الشبا الأولى","486","2024-08-07 14:14:42","618-NAD AL SHIBBA FIRST","6056"
"null","213-ند شما","992","2024-08-07 14:14:42","213-NAD SHAMMA","3378"
"null","922-اليلايس 2","493","2024-08-07 14:14:42","922-AL YALAYIS 2","1380"
"null","283-العياص","302","2024-08-07 14:14:42","283-AL AYAS","1757"
"null","674-الحبيه الأولى","121","2024-08-07 14:14:42","674-AL HEBIAH FIRST","9672"
"null","945-الفقع","742","2024-08-07 14:14:42","945-AL FAGAA","442"
"null","281-الخوانيج الأولى","304","2024-08-07 14:14:42","281-AL KHAWANEEJ ONE","12893"
"null","916-اليفره 2","1099","2024-08-07 14:14:42","916-AL YUFRAH 2","2008"
"null","228-الطوار الثالثة","246","2024-08-07 14:14:42","228-AL TWAR THIRD","10655"
"null","913-أم نهد الثالثة","584","2024-08-07 14:14:42","913-UMM NAHAD THIRD","1347"
"null","971-سيح الدحل","566","2024-08-07 14:14:42","971-SAIH AL DAHAL","3"
"null","234-القصيص الثالثة","242","2024-08-07 14:14:42","234-AL QUSAIS THIRD","7162"
"null","616-ند الشبا الثالثة","484","2024-08-07 14:14:42","616-NAD AL SHIBBA THIRD","1098"
"null","268-عود المطينة الثالثة","165","2024-08-07 14:14:42","268-OUD AL MUTEEN THIRD ","6344"
"null","643-وادي الصفا 2","199","2024-08-07 14:14:42","643-WADI AL SAFA 2","9623"
"null","337-زعبيل الثانية","901","2024-08-07 14:14:42","337-ZAABEEL SECOND","8568"
"null","631-حدائق الشيخ محمد بن راشد","1034","2024-08-07 14:14:42","631-HADAEQ SHEIKH MOHAMMED BIN RASHID","4692"
"null","531-سيح شعيب 2","17","2024-08-07 14:14:42","531-SAIH SHUAIB 2","13665"
"null","502-الواجهة البحرية","405","2024-08-07 14:14:42","502-AL WAJEHAH AL BHARIYAH","4"
"null","978-سيح شعيله","564","2024-08-07 14:14:42","978-SAIH SHUAALAH","3"
"null","673-البرشاء جنوب الثالثة","709","2024-08-07 14:14:42","673-AL BARSHA SOUTH THIRD","8573"
"null","319-عود ميثاء","558","2024-08-07 14:14:42","319-OUD METHA","15061"
"null","365-القوز الصناعية الثانية ","637","2024-08-07 14:14:42","365-AL GOZE IND. SECOND ","160517"
"null","991-حفير","450","2024-08-07 14:14:42","991-HEFAIR","0"
"null","987-الليان 1","43","2024-08-07 14:14:42","987-AL LAYAN 1","10"
"null","315-ام هرير الثانية","152","2024-08-07 14:14:42","315-UM HURAIR SECOND","4867"
"null","617-ند الشبا الرابعة","485","2024-08-07 14:14:42","617-NAD AL SHIBBA FOURTH","3779"
"null","971-سيح الدحل","737","2024-08-07 14:14:42","971-SAIH AL DAHAL","3"
"null","317-المنخول","865","2024-08-07 14:14:42","317-AL MANKHOOL","41244"
"null","394-الثنيه الرابعة (تلال الامارات الثالثة)","385","2024-08-07 14:14:42","394-AL THANYAH FOURTH (EMIRATE HILLS THIRD) ","27728"
"null","304-جزيرة جميرا 2","298","2024-08-07 14:14:42","304-JUMEIRA ISLAND 2","3"
"null","252-مشرف","232","2024-08-07 14:14:42","252-MUSHRAIF","67"
"null","381-نخلة جميرا ","910","2024-08-07 14:14:42","381-NAKHLAT JUMEIRA ","25550"
"null","724-نخلي","722","2024-08-07 14:14:42","724-ENKHALI","2"
"null","521-مدينة المطار","468","2024-08-07 14:14:42","521-MADINAT AL MATAAR","3404"
"null","134-الممزر","360","2024-08-07 14:14:42","134-AL MAMZER","14938"
"null","226-الطوار الأولى","248","2024-08-07 14:14:42","226-AL TWAR FIRST","11509"
"null","358-القوز الثالثة","774","2024-08-07 14:14:42","358-AL GOZE THIRD","50190"
"null","364-القوز الصناعية الأولى ","254","2024-08-07 14:14:42","364-AL GOZE IND. FIRST ","26075"
"null","731-لهباب الأولى","135","2024-08-07 14:14:42","731-LEHBAB FIRST","2921"
"null","367-ام الشيف","69","2024-08-07 14:14:42","367-UM AL SHEIF","4097"
"null","117-المرر","622","2024-08-07 14:14:42","117-AL MURAR","39227"
"null","626-ند حصة","463","2024-08-07 14:14:42","626-NADD HESSA","39131"
"null","241-النهدة الثانية","528","2024-08-07 14:14:42","241-AL NAHDA SECOND","62706"
"null","736-نزوه","726","2024-08-07 14:14:42","736-NAZWAH","575"
"null","246-القصيص الصناعية الثالثة","236","2024-08-07 14:14:42","246-AL QUSAIS IND. THIRD","2710"
"null","131-ميناء الحمرية","895","2024-08-07 14:14:42","131-AL HAMRIYA PORT","510"
"null","321-مدينه دبي الملاحيه (الميناء)","870","2024-08-07 14:14:42","321-MADINAT DUBAI AL MELAHEYAH (AL MINA)","8391"
"null","366-ام سقيم الثالثة","922","2024-08-07 14:14:42","366-UM SUQAIM THIRD","7935"
"null","416-ند الحمر","455","2024-08-07 14:14:42","416-NAD AL HAMAR","14571"
"null","357-الصفا الثانية","878","2024-08-07 14:14:42","357-AL SAFFA SECOND","7062"
"null","312-السوق الكبير","975","2024-08-07 14:14:42","312-AL SUQ AL KABEER","53055"
"null","956-الحثمة","441","2024-08-07 14:14:42","956-AL HATHMAH","35"
"null","325-زعبيل الأولى","143","2024-08-07 14:14:42","325-ZAABEEL FIRST","3062"
"null","359-القوز الرابعة","773","2024-08-07 14:14:42","359-AL GOZE FOURTH","21691"
"null","925-اليلايس 5","111","2024-08-07 14:14:42","925-AL YALAYIS 5","100"
"null","232-القصيص الأولى","578","2024-08-07 14:14:42","232-AL QUSAIS FIRST","46210"
"null","216-الراشدية","603","2024-08-07 14:14:42","216-AL RASHIDIYA","37493"
"null","416-ند الحمر","801","2024-08-07 14:14:42","416-NAD AL HAMAR","16930"
"null","675-الحبيه الثانية","661","2024-08-07 14:14:42","675-AL HEBIAH SECOND","1546"
"null","318-الكرامة","149","2024-08-07 14:14:42","318-AL KARAMA","70558"
"null","121-كورنيش ديرة","372","2024-08-07 14:14:42","121-CORNICHE DEIRA","14"
"null","367-ام الشيف","639","2024-08-07 14:14:42","367-UM AL SHEIF","4464"
"null","831-لهباب الثانية","595","2024-08-07 14:14:42","831-LEHBAB SECOND","1530"
"null","415-الخيران الأولى","1064","2024-08-07 14:14:42","415-AL KHAIRAN FIRST","2529"
"null","116-عيال ناصر","1115","2024-08-07 14:14:42","116-AYAL NASIR","20139"
"null","214-القرهود","993","2024-08-07 14:14:42","214-AL GARHOUD","20168"
"null","317-المنخول","970","2024-08-07 14:14:42","317-AL MANKHOOL","42056"
"null","357-الصفا الثانية","631","2024-08-07 14:14:42","357-AL SAFFA SECOND","6823"
"null","369-القوز الصناعية الرابعة ","817","2024-08-07 14:14:42","369-AL GOZE IND. FOURTH ","38761"
"null","322-الحضيبة","966","2024-08-07 14:14:42","322-AL HUDAIBA","14789"
"null","533-سيح شعيب 4","703","2024-08-07 14:14:42","533-SAIH SHUAIB 4","10766"
"null","117-المرر","53","2024-08-07 14:14:42","117-AL MURAR","38294"
"null","919-اليفره 4","101","2024-08-07 14:14:42","919-AL YUFRAH 4","3"
"null","621-ورسان الأولى","204","2024-08-07 14:14:42","621-WARSAN FIRST","97159"
"null","343-الوصل","86","2024-08-07 14:14:42","343-AL WASL","11156"
"null","394-الثنيه الرابعة (تلال الامارات الثالثة)","805","2024-08-07 14:14:42","394-AL THANYAH FOURTH (EMIRATE HILLS THIRD) ","28424"
"null","325-زعبيل الأولى","553","2024-08-07 14:14:42","325-ZAABEEL FIRST","3331"
"null","978-سيح شعيله","735","2024-08-07 14:14:42","978-SAIH SHUAALAH","3"
"null","622-ورسان الثانية","488","2024-08-07 14:14:42","622-WARSAN SECOND","1380"
"null","315-ام هرير الثانية","498","2024-08-07 14:14:42","315-UM HURAIR SECOND","5414"
"null","914-أم نهد الرابعة","426","2024-08-07 14:14:42","914-UMM NAHAD FOURTH","4"
"null","373-البرشاء الأولى","815","2024-08-07 14:14:42","373-AL BARSHAA FIRST","41532"
"null","941-قريطيسه","572","2024-08-07 14:14:42","941-GRAYTEESAH","55"
"null","303-جزر العالم","158","2024-08-07 14:14:42","303-WORLD ISLANDS","7"
"null","915-اليفره 1","97","2024-08-07 14:14:42","915-AL YUFRAH 1","403"
"null","643-وادي الصفا 2","461","2024-08-07 14:14:42","643-WADI AL SAFA 2","10678"
"null","981-مقطره","563","2024-08-07 14:14:42","981-MUGATRAH","805"
"null","394-الثنيه الرابعة (تلال الامارات الثالثة)","938","2024-08-07 14:14:42","394-AL THANYAH FOURTH (EMIRATE HILLS THIRD) ","28990"
"null","615-ند الشبا الثانية","319","2024-08-07 14:14:42","615-NAD AL SHIBBA SECOND","2389"
"null","118-نايف","1117","2024-08-07 14:14:42","118-NAIF","53403"
"null","281-الخوانيج الأولى","983","2024-08-07 14:14:42","281-AL KHAWANEEJ ONE","13946"
"null","221-مطار دبي الدولي","355","2024-08-07 14:14:42","221-DUBAI  AIRPORT","22"
"null","332-جميرا الأولى","898","2024-08-07 14:14:42","332-JUMEIRA FIRST","21496"
"null","283-العياص","507","2024-08-07 14:14:42","283-AL AYAS","1770"
"null","101-نخلة ديرة","531","2024-08-07 14:14:42","101-NAKHLAT DEIRA","2"
"null","313-الحمرية","860","2024-08-07 14:14:42","313-AL HAMRIYA","38215"
"null","612-رأس الخور الصناعية الأولى","211","2024-08-07 14:14:42","612-RAS AL KHOR IND. FIRST","2393"
"null","383-الثنيه الأولى (قرية ربيع الصحراء)","648","2024-08-07 14:14:42","383-AL THANYAH FIRST (V. RABIE SAHRAA)","25202"
"null","354-القوز الأولى","80","2024-08-07 14:14:42","354-AL GOZE FIRST","18845"
"null","365-القوز الصناعية الثانية ","821","2024-08-07 14:14:42","365-AL GOZE IND. SECOND ","128867"
"null","321-مدينه دبي الملاحيه (الميناء)","288","2024-08-07 14:14:42","321-MADINAT DUBAI AL MELAHEYAH (AL MINA)","15172"
"null","326-الجداف","380","2024-08-07 14:14:42","326-AL JADAF","5104"
"null","369-القوز الصناعية الرابعة ","917","2024-08-07 14:14:42","369-AL GOZE IND. FOURTH ","39092"
"null","511-حصيان الاولى","1074","2024-08-07 14:14:42","511-HESSYAN FIRST","3365"
"null","941-قريطيسه","438","2024-08-07 14:14:42","941-GRAYTEESAH","55"
"null","234-القصيص الثالثة","193","2024-08-07 14:14:42","234-AL QUSAIS THIRD","6812"
"null","826-الحميرا","768","2024-08-07 14:14:42","826-LE HEMAIRA","56"
"null","424- الورقاء الرابعة ","6","2024-08-07 14:14:42","424-AL WARQAA FOURTH ","12910"
"null","335-المركز التجاري الأولى","548","2024-08-07 14:14:42","335-TRADE CENTER FIRST","16734"
"null","393-الثنيه الخامسة (تلال الامارات الاولى)","386","2024-08-07 14:14:42","393-AL THANYAH FIFTH (EMIRATE HILLS FIRST) ","40586"
"null","346-الخليج التجاري","266","2024-08-07 14:14:42","346-AL KALIJ AL TEJARI","21179"
"null","324-الكفاف","144","2024-08-07 14:14:42","324-AL KIFAF","2"
"null","686-معيصم الثانية","130","2024-08-07 14:14:42","686-MEAISEM SECOND","11"
"null","363-المنارة","635","2024-08-07 14:14:42","363-AL MANARA","8443"
"null","991-حفير","560","2024-08-07 14:14:42","991-HEFAIR","0"
"null","359-القوز الرابعة","257","2024-08-07 14:14:42","359-AL GOZE FOURTH","22718"
"null","916-اليفره 2","428","2024-08-07 14:14:42","916-AL YUFRAH 2","58"
"null","242-القصيص الصناعية الأولى","837","2024-08-07 14:14:42","242-AL QUSAIS IND. FIRST","10813"
"null","845-المها","272","2024-08-07 14:14:42","845-AL MAHA","193"
"null","316-الرفاعة","971","2024-08-07 14:14:42","316-AL RAFFA","49440"
"null","727-الوحوش","673","2024-08-07 14:14:42","727-AL WOHOOSH","46"
"null","598-مجمع دبي للإستثمارالاول","477","2024-08-07 14:14:42","598-DUBAI INVESTMENT PARK1","69117"
"null","323-الجافلية","873","2024-08-07 14:14:42","323-AL JAFLIYA","25033"
"null","346-الخليج التجاري","953","2024-08-07 14:14:42","346-AL KALIJ AL TEJARI","24410"
"null","228-الطوار الثالثة","189","2024-08-07 14:14:42","228-AL TWAR THIRD","10217"
"null","922-اليلايس 2","103","2024-08-07 14:14:42","922-AL YALAYIS 2","217"
"null","266-عود المطينة الثانية ","308","2024-08-07 14:14:42","266-OUD AL MUTEEN SECOND ","5506"
"null","267-محصينة الخامسة ","986","2024-08-07 14:14:42","267-MUHAISANAH FIFTH","2"
"null","812-الرويه الأولى","920","2024-08-07 14:14:42","812-AL ROWAIYAH FIRST","3283"
"null","618-ند الشبا الأولى","1029","2024-08-07 14:14:42","618-NAD AL SHIBBA FIRST","6872"
"null","234-القصيص الثالثة","839","2024-08-07 14:14:42","234-AL QUSAIS THIRD","7513"
"null","122-البراحة","170","2024-08-07 14:14:42","122-AL BARAHA","24373"
"null","521-مدينة المطار","16","2024-08-07 14:14:42","521-MADINAT AL MATAAR","2183"
"null","531-سيح شعيب 2","786","2024-08-07 14:14:42","531-SAIH SHUAIB 2","12629"
"null","124-المرقبات","172","2024-08-07 14:14:42","124-AL MURQABAT","68717"
"null","861-يراح","1092","2024-08-07 14:14:42","861-YARAAH","101"
"null","684-البرشاء جنوب الخامسة","128","2024-08-07 14:14:42","684-AL BARSHA SOUTH FIFTH","6753"
"null","664-وادي الصفا 6 (المرابع العربية)","655","2024-08-07 14:14:42","664-WADI AL SAFA 6 (ARABIAN RANCHES)","18511"
"null","119-الرقة","620","2024-08-07 14:14:42","119-AL REGA","10623"
"null","321-مدينه دبي الملاحيه (الميناء)","967","2024-08-07 14:14:42","321-MADINAT DUBAI AL MELAHEYAH (AL MINA)","8440"
"null","247-القصيص الصناعية الرابعة","832","2024-08-07 14:14:42","247-AL QUSAIS IND. FOURTH","2865"
"null","615-ند الشبا الثانية","483","2024-08-07 14:14:42","615-NAD AL SHIBBA SECOND","2486"
"null","221-مطار دبي الدولي","842","2024-08-07 14:14:42","221-DUBAI  AIRPORT","121"
"null","424- الورقاء الرابعة ","1069","2024-08-07 14:14:42","424-AL WARQAA FOURTH ","14575"
"null","614-رأس الخور الصناعية الثالثة","209","2024-08-07 14:14:42","614-RAS AL KHOR IND. THIRD","21500"
"null","824-أم الدمن","769","2024-08-07 14:14:42","824-UMM AL DAMAN","299"
"null","912-أم نهد الثانية","585","2024-08-07 14:14:42","912-UMM NAHAD SECOND","2"
"null","362-ام سقيم الثانية","772","2024-08-07 14:14:42","362-UM SUQAIM SECOND","13236"
"null","251-مردف","830","2024-08-07 14:14:42","251-MURDAF","66736"
"null","312-السوق الكبير","859","2024-08-07 14:14:42","312-AL SUQ AL KABEER","52439"
"null","304-جزيرة جميرا 2","503","2024-08-07 14:14:42","304-JUMEIRA ISLAND 2","3"
"null","366-ام سقيم الثالثة","252","2024-08-07 14:14:42","366-UM SUQAIM THIRD","7520"
"null","616-ند الشبا الثالثة","1027","2024-08-07 14:14:42","616-NAD AL SHIBBA THIRD","1259"
"null","841-مرغم","593","2024-08-07 14:14:42","841-MARGHAM","1023"
"null","721-العوير الثانية","671","2024-08-07 14:14:42","721-AL AWEER TWO","5710"
"null","132-الوحيدة","875","2024-08-07 14:14:42","132-AL WAHEDA","21608"
"null","111-الكورنيش","47","2024-08-07 14:14:42","111-AL CORNICHE","1655"
"null","334-السطوة","377","2024-08-07 14:14:42","334-AL SATWA","38991"
"null","251-مردف","520","2024-08-07 14:14:42","251-MURDAF","65044"
"null","319-عود ميثاء","148","2024-08-07 14:14:42","319-OUD METHA","13616"
"null","243-القصيص الصناعية الثانية","526","2024-08-07 14:14:42","243-AL QUSAIS IND. SECOND","8967"
"null","917-المرموم","99","2024-08-07 14:14:42","917-AL MARMOOM","79"
"null","813-الرويه الثانية","729","2024-08-07 14:14:42","813-AL ROWAIYAH SECOND","0"
"null","281-الخوانيج الأولى","509","2024-08-07 14:14:42","281-AL KHAWANEEJ ONE","13206"
"null","845-المها","27","2024-08-07 14:14:42","845-AL MAHA","175"
"null","911-أم نهد الأولى","423","2024-08-07 14:14:42","911-UMM NAHAD FIRST","8"
"null","118-نايف","54","2024-08-07 14:14:42","118-NAIF","48804"
"null","975-العشوش","565","2024-08-07 14:14:42","975-AL OSHOOSH","3"
"null","268-عود المطينة الثالثة","511","2024-08-07 14:14:42","268-OUD AL MUTEEN THIRD ","6847"
"null","422-الورقاء الثانية","799","2024-08-07 14:14:42","422-AL WARQAA  SECOND","11323"
"null","359-القوز الرابعة","932","2024-08-07 14:14:42","359-AL GOZE FOURTH","21942"
"null","352-جميرا الثالثة","82","2024-08-07 14:14:42","352-JUMEIRA THIRD","12493"
"null","376-البرشاء الثانية","63","2024-08-07 14:14:42","376-AL BAESHAA SECOND","14815"
"null","988-الليان 2","561","2024-08-07 14:14:42","988-AL LAYAN 2","0"
"null","922-اليلايس 2","1104","2024-08-07 14:14:42","922-AL YALAYIS 2","5292"
"null","242-القصيص الصناعية الأولى","240","2024-08-07 14:14:42","242-AL QUSAIS IND. FIRST","9369"
"null","961-الصلال","37","2024-08-07 14:14:42","961-AL SELAL","660"
"null","375-البرشاء الثالثة","912","2024-08-07 14:14:42","375-AL BARSHAA THIRD","15716"
"null","302-شاطئ جميرا","159","2024-08-07 14:14:42","302-JUMEIRA BAY","39"
"null","302-شاطئ جميرا","979","2024-08-07 14:14:42","302-JUMEIRA BAY","50"
"null","664-وادي الصفا 6 (المرابع العربية)","705","2024-08-07 14:14:42","664-WADI AL SAFA 6 (ARABIAN RANCHES)","18856"
"null","134-الممزر","181","2024-08-07 14:14:42","134-AL MAMZER","14178"
"null","315-ام هرير الثانية","293","2024-08-07 14:14:42","315-UM HURAIR SECOND","5328"
"null","118-نايف","784","2024-08-07 14:14:42","118-NAIF","53075"
"null","116-عيال ناصر","376","2024-08-07 14:14:42","116-AYAL NASIR","19280"
"null","518-جبل علي الصناعية الثانية","15","2024-08-07 14:14:42","518-JABAL ALI INDUSTRIAL SECOND","23000"
"null","423-الورقاء الثالثة","400","2024-08-07 14:14:42","423-AL WARQAA THIRD","14728"
"null","423-الورقاء الثالثة","539","2024-08-07 14:14:42","423-AL WARQAA THIRD","15147"
"null","312-السوق الكبير","296","2024-08-07 14:14:42","312-AL SUQ AL KABEER","51012"
"null","129-بور سعيد","177","2024-08-07 14:14:42","129-PORT SAEED","13266"
"null","282-الخوانيج الثانية","303","2024-08-07 14:14:42","282-AL KHAWANEEJ TWO","4523"
"null","101-نخلة ديرة","392","2024-08-07 14:14:42","101-NAKHLAT DEIRA","2"
"null","415-الخيران الأولى","802","2024-08-07 14:14:42","415-AL KHAIRAN FIRST","2086"
"null","677-الحبيه السادسة","1047","2024-08-07 14:14:42","677-AL HEBIAH SIXTH","2483"
"null","987-الليان 1","929","2024-08-07 14:14:42","987-AL LAYAN 1","300"
"null","311-الشندغة","502","2024-08-07 14:14:42","311-AL SHANDAGA","7"
"null","114-البطين","780","2024-08-07 14:14:42","114-AL BUTEEN","3016"
"null","924-اليلايس 4","435","2024-08-07 14:14:42","924-AL YALAYIS 4","8"
"null","382-الصفوح الثانية","647","2024-08-07 14:14:42","382-AL SOFOUH SECOND","6226"
"null","925-اليلايس 5","436","2024-08-07 14:14:42","925-AL YALAYIS 5","100"
"null","511-حصيان الاولى","11","2024-08-07 14:14:42","511-HESSYAN FIRST","3300"
"null","975-العشوش","40","2024-08-07 14:14:42","975-AL OSHOOSH","0"
"null","831-لهباب الثانية","24","2024-08-07 14:14:42","831-LEHBAB SECOND","1363"
"null","129-بور سعيد","894","2024-08-07 14:14:42","129-PORT SAEED","14241"
"null","376-البرشاء الثانية","911","2024-08-07 14:14:42","376-AL BAESHAA SECOND","16759"
"null","845-المها","1088","2024-08-07 14:14:42","845-AL MAHA","206"
"null","945-الفقع","439","2024-08-07 14:14:42","945-AL FAGAA","417"
"null","228-الطوار الثالثة","999","2024-08-07 14:14:42","228-AL TWAR THIRD","11439"
"null","326-الجداف","142","2024-08-07 14:14:42","326-AL JADAF","4197"
"null","356-ام سقيم الأولى","260","2024-08-07 14:14:42","356-UM SUQAIM FIRST","11718"
"null","592-جبل علي الثانية","21","2024-08-07 14:14:42","592-JABAL ALI  SECOND","1561"
"null","343-الوصل","544","2024-08-07 14:14:42","343-AL WASL","11725"
"null","245-محيصنة الرابعة","237","2024-08-07 14:14:42","245-MUHAISANAH FOURTH","34947"
"null","233-القصيص الثانية","840","2024-08-07 14:14:42","233-AL QUSAIS SECOND","12851"
"null","621-ورسان الأولى","323","2024-08-07 14:14:42","621-WARSAN FIRST","106072"
"null","221-مطار دبي الدولي","186","2024-08-07 14:14:42","221-DUBAI  AIRPORT","22"
"null","684-البرشاء جنوب الخامسة","344","2024-08-07 14:14:42","684-AL BARSHA SOUTH FIFTH","7384"
"null","857-مرقب","1091","2024-08-07 14:14:42","857-MARGAB","671"
"null","241-النهدة الثانية","194","2024-08-07 14:14:42","241-AL NAHDA SECOND","56489"
"null","242-القصيص الصناعية الأولى","195","2024-08-07 14:14:42","242-AL QUSAIS IND. FIRST","8362"
"null","821-مرييل","770","2024-08-07 14:14:42","821-MEREIYEEL","424"
"null","915-اليفره 1","1098","2024-08-07 14:14:42","915-AL YUFRAH 1","403"
"null","961-الصلال","939","2024-08-07 14:14:42","961-AL SELAL","685"
