year_key,community_number_community_name_ar,id,load_timestamp,community_number_community_name_en,population
"null","324-الكفاف","554","2024-08-07 14:14:42","324-AL KIFAF","2"
"null","665-وادي الصفا 7 ","117","2024-08-07 14:14:42","665-WADI AL SAFA 7","7740"
"null","597-مجمع دبي للإستثمار الثاني","1019","2024-08-07 14:14:42","597-DUBAI INVESTMENT PARK2","80537"
"null","727-الوحوش","723","2024-08-07 14:14:42","727-AL WOHOOSH","48"
"null","911-أم نهد الأولى","586","2024-08-07 14:14:42","911-UMM NAHAD FIRST","8"
"null","125-رقة البطين","368","2024-08-07 14:14:42","125-REGA AL BUTEEN","7120"
"null","112-الرأس","394","2024-08-07 14:14:42","112-AL RASS","7460"
"null","246-القصيص الصناعية الثالثة","225","2024-08-07 14:14:42","246-AL QUSAIS IND. THIRD","2559"
"null","683-الحبيه الخامسة","343","2024-08-07 14:14:42","683-AL HEBIAH FIFTH","9748"
"null","303-جزر العالم","504","2024-08-07 14:14:42","303-WORLD ISLANDS","7"
"null","811-ورسان الثالثة","727","2024-08-07 14:14:42","811-WARSAN THIRD","12613"
"null","988-الليان 2","44","2024-08-07 14:14:42","988-AL LAYAN 2","0"
"null","319-عود ميثاء","968","2024-08-07 14:14:42","319-OUD METHA","15874"
"null","981-مقطره","734","2024-08-07 14:14:42","981-MUGATRAH","347"
"null","431-وادي الشبك ","536","2024-08-07 14:14:42","431-WADI ALSHABAK ","3"
"null","243-القصيص الصناعية الثانية","836","2024-08-07 14:14:42","243-AL QUSAIS IND. SECOND","9410"
"null","615-ند الشبا الثانية","208","2024-08-07 14:14:42","615-NAD AL SHIBBA SECOND","2258"
"null","835-أم المؤمنين","594","2024-08-07 14:14:42","835-UMM AL MOMENEEN","310"
"null","918-اليفره 3","490","2024-08-07 14:14:42","918-AL YUFRAH 3","711"
"null","921-اليلايس 1","102","2024-08-07 14:14:42","921-AL YALAYIS 1","0"
"null","126-ابو هيل","367","2024-08-07 14:14:42","126-ABU HAIL","17240"
"null","824-أم الدمن","22","2024-08-07 14:14:42","824-UMM AL DAMAN","258"
"null","624-ورسان الرابعة","685","2024-08-07 14:14:42","624-WARSAN FOURTH","10104"
"null","231-النهدة الأولى","190","2024-08-07 14:14:42","231-AL NAHDA FIRST","29011"
"null","593-جبل علي الثالثة","474","2024-08-07 14:14:42","593-JABAL ALI THIRD","1513"
"null","978-سيح شعيله","931","2024-08-07 14:14:42","978-SAIH SHUAALAH","0"
"null","233-القصيص الثانية","579","2024-08-07 14:14:42","233-AL QUSAIS SECOND","12654"
"null","413-رأس الخور","803","2024-08-07 14:14:42","413-RAS AL KHOR","2"
"null","345-برج خليفة","952","2024-08-07 14:14:42","345-BURJ KHALIFA","22291"
"null","914-أم نهد الرابعة","583","2024-08-07 14:14:42","914-UMM NAHAD FOURTH","4"
"null","599-جبل علي الصناعية الأولى","421","2024-08-07 14:14:42","599-JABAL ALI INDUSTRIAL FIRST","128975"
"null","626-ند حصة","684","2024-08-07 14:14:42","626-NADD HESSA","40819"
"null","731-لهباب الأولى","724","2024-08-07 14:14:42","731-LEHBAB FIRST","3389"
"null","384-الثنيه الثانية (مضمار جبل علي)","389","2024-08-07 14:14:42","384-AL THANYAH SECOND (JEBEL ALI HORSE RACING)","115"
"null","281-الخوانيج الأولى","851","2024-08-07 14:14:42","281-AL KHAWANEEJ ONE","13634"
"null","923-اليلايس 3","494","2024-08-07 14:14:42","923-AL YALAYIS 3","4"
"null","325-زعبيل الأولى","381","2024-08-07 14:14:42","325-ZAABEEL FIRST","3260"
"null","383-الثنيه الأولى (قرية ربيع الصحراء)","60","2024-08-07 14:14:42","383-AL THANYAH FIRST (V. RABIE SAHRAA)","22638"
"null","613-رأس الخور الصناعية الثانية","317","2024-08-07 14:14:42","613-RAS AL KHOR IND. SECOND","2514"
"null","502-الواجهة البحرية","10","2024-08-07 14:14:42","502-AL WAJEHAH AL BHARIYAH","4"
"null","502-الواجهة البحرية","534","2024-08-07 14:14:42","502-AL WAJEHAH AL BHARIYAH","4"
"null","318-الكرامة","969","2024-08-07 14:14:42","318-AL KARAMA","77139"
"null","911-أم نهد الأولى","93","2024-08-07 14:14:42","911-UMM NAHAD FIRST","8"
"null","265-عود المطينة الأولى","514","2024-08-07 14:14:42","265-OUD AL MUTEEN FIRST","15052"
"null","814-الرويه الثالثة","279","2024-08-07 14:14:42","814-AL ROWAIYAH THIRD","4429"
"null","124-المرقبات","884","2024-08-07 14:14:42","124-AL MURQABAT","73087"
"null","282-الخوانيج الثانية","508","2024-08-07 14:14:42","282-AL KHAWANEEJ TWO","5322"
"null","384-الثنيه الثانية (مضمار جبل علي)","809","2024-08-07 14:14:42","384-AL THANYAH SECOND (JEBEL ALI HORSE RACING)","0"
"null","116-عيال ناصر","623","2024-08-07 14:14:42","116-AYAL NASIR","19414"
"null","127-هورالعنز","175","2024-08-07 14:14:42","127-HOR AL ANZ","81741"
"null","126-ابو هيل","887","2024-08-07 14:14:42","126-ABU HAIL","18043"
"null","124-المرقبات","616","2024-08-07 14:14:42","124-AL MURQABAT","70112"
"null","672-البرشاء جنوب الثانية","658","2024-08-07 14:14:42","672-AL BARSHA SOUTH SECOND","7661"
"null","521-مدينة المطار","1079","2024-08-07 14:14:42","521-MADINAT AL MATAAR","5885"
"null","262-المزهر الأولى","219","2024-08-07 14:14:42","262-AL MEZHAR FIRST","15806"
"null","412-الخيران","940","2024-08-07 14:14:42","412-AL KHEERAN","5333"
"null","421-الورقاء الأولى","800","2024-08-07 14:14:42","421-AL WARQAA FIRST","26405"
"null","326-الجداف","552","2024-08-07 14:14:42","326-AL JADAF","5873"
"null","616-ند الشبا الثالثة","207","2024-08-07 14:14:42","616-NAD AL SHIBBA THIRD","137"
"null","919-اليفره 4","1102","2024-08-07 14:14:42","919-AL YUFRAH 4","3"
"null","362-ام سقيم الثانية","928","2024-08-07 14:14:42","362-UM SUQAIM SECOND","13502"
"null","372-الصفوح الأولى","66","2024-08-07 14:14:42","372-AL SAFOUH FIRST","4112"
"null","342-جميرا الثانية","545","2024-08-07 14:14:42","342-JUMEIRA SECOND","10284"
"null","665-وادي الصفا 7 ","333","2024-08-07 14:14:42","665-WADI AL SAFA 7","8473"
"null","244-محيصنة الثالثة","1007","2024-08-07 14:14:42","244-MUHAISANAH THIRD","7024"
"null","991-حفير","45","2024-08-07 14:14:42","991-HEFAIR","0"
"null","357-الصفا الثانية","259","2024-08-07 14:14:42","357-AL SAFFA SECOND","6679"
"null","268-عود المطينة الثالثة","849","2024-08-07 14:14:42","268-OUD AL MUTEEN THIRD ","7061"
"null","598-مجمع دبي للإستثمارالاول","420","2024-08-07 14:14:42","598-DUBAI INVESTMENT PARK1","69956"
"null","231-النهدة الأولى","846","2024-08-07 14:14:42","231-AL NAHDA FIRST","32757"
"null","321-مدينه دبي الملاحيه (الميناء)","557","2024-08-07 14:14:42","321-MADINAT DUBAI AL MELAHEYAH (AL MINA)","14753"
"null","326-الجداف","962","2024-08-07 14:14:42","326-AL JADAF","7477"
"null","129-بور سعيد","1127","2024-08-07 14:14:42","129-PORT SAEED","14425"
"null","121-كورنيش ديرة","56","2024-08-07 14:14:42","121-CORNICHE DEIRA","14"
"null","592-جبل علي الثانية","416","2024-08-07 14:14:42","592-JABAL ALI  SECOND","1570"
"null","945-الفقع","942","2024-08-07 14:14:42","945-AL FAGAA","447"
"null","671-البرشاء جنوب الأولى","707","2024-08-07 14:14:42","671-AL BARSHA SOUTH FIRST","14500"
"null","113-الضغاية","316","2024-08-07 14:14:42","113-AL DHAGAYA","15899"
"null","323-الجافلية","383","2024-08-07 14:14:42","323-AL JAFLIYA","23963"
"null","511-حصيان الاولى","792","2024-08-07 14:14:42","511-HESSYAN FIRST","3341"
"null","624-ورسان الرابعة","202","2024-08-07 14:14:42","624-WARSAN FOURTH","8359"
"null","421-الورقاء الأولى","454","2024-08-07 14:14:42","421-AL WARQAA FIRST","24865"
"null","248-القصيص الصناعية الخامسة","831","2024-08-07 14:14:42","248-AL QUSAIS IND FIFTH","2722"
"null","516-جبل علي الصناعية الثالثة ","14","2024-08-07 14:14:42","516-JABAL ALI INDUSTRIAL THIRD","2462"
"null","247-القصيص الصناعية الرابعة","522","2024-08-07 14:14:42","247-AL QUSAIS IND. FOURTH","2751"
"null","618-ند الشبا الأولى","205","2024-08-07 14:14:42","618-NAD AL SHIBBA FIRST","5485"
"null","266-عود المطينة الثانية ","823","2024-08-07 14:14:42","266-OUD AL MUTEEN SECOND ","5820"
"null","724-نخلي","349","2024-08-07 14:14:42","724-ENKHALI","26"
"null","531-سيح شعيب 2","469","2024-08-07 14:14:42","531-SAIH SHUAIB 2","14511"
"null","382-الصفوح الثانية","391","2024-08-07 14:14:42","382-AL SOFOUH SECOND","6126"
"null","631-حدائق الشيخ محمد بن راشد","200","2024-08-07 14:14:42","631-HADAEQ SHEIKH MOHAMMED BIN RASHID","68"
"null","242-القصيص الصناعية الأولى","1005","2024-08-07 14:14:42","242-AL QUSAIS IND. FIRST","11068"
"null","673-البرشاء جنوب الثالثة","1043","2024-08-07 14:14:42","673-AL BARSHA SOUTH THIRD","8660"
"null","363-المنارة","73","2024-08-07 14:14:42","363-AL MANARA","7709"
"null","415-الخيران الأولى","1","2024-08-07 14:14:42","415-AL KHAIRAN FIRST","2"
"null","369-القوز الصناعية الرابعة ","249","2024-08-07 14:14:42","369-AL GOZE IND. FOURTH ","38079"
"null","931-الليسيلي","437","2024-08-07 14:14:42","931-AL LESAILY","2856"
"null","847-أم السلي","591","2024-08-07 14:14:42","847-UMM ESELAY","206"
"null","282-الخوانيج الثانية","982","2024-08-07 14:14:42","282-AL KHAWANEEJ TWO","6031"
"null","665-وادي الصفا 7 ","1040","2024-08-07 14:14:42","665-WADI AL SAFA 7","9358"
"null","835-أم المؤمنين","25","2024-08-07 14:14:42","835-UMM AL MOMENEEN","309"
"null","347-المركاض","265","2024-08-07 14:14:42","347-AL MERKADH","1317"
"null","216-الراشدية","841","2024-08-07 14:14:42","216-AL RASHIDIYA","38425"
"null","841-مرغم","765","2024-08-07 14:14:42","841-MARGHAM","1217"
"null","323-الجافلية","965","2024-08-07 14:14:42","323-AL JAFLIYA","25365"
"null","675-الحبيه الثانية","338","2024-08-07 14:14:42","675-AL HEBIAH SECOND","1523"
"null","731-لهباب الأولى","285","2024-08-07 14:14:42","731-LEHBAB FIRST","3197"
"null","111-الكورنيش","1110","2024-08-07 14:14:42","111-AL CORNICHE","2670"
"null","648-وادي الصفا 5","458","2024-08-07 14:14:42","648-WADI AL SAFA 5","21536"
"null","122-البراحة","618","2024-08-07 14:14:42","122-AL BARAHA","24961"
"null","617-ند الشبا الرابعة","321","2024-08-07 14:14:42","617-NAD AL SHIBBA FOURTH","3685"
"null","372-الصفوح الأولى","642","2024-08-07 14:14:42","372-AL SAFOUH FIRST","4516"
"null","303-جزر العالم","299","2024-08-07 14:14:42","303-WORLD ISLANDS","7"
"null","599-جبل علي الصناعية الأولى","213","2024-08-07 14:14:42","599-JABAL ALI INDUSTRIAL FIRST","129024"
"null","736-نزوه","1060","2024-08-07 14:14:42","736-NAZWAH","595"
"null","281-الخوانيج الأولى","163","2024-08-07 14:14:42","281-AL KHAWANEEJ ONE","12241"
"null","621-ورسان الأولى","687","2024-08-07 14:14:42","621-WARSAN FIRST","108176"
"null","857-مرقب","761","2024-08-07 14:14:42","857-MARGAB","666"
"null","125-رقة البطين","173","2024-08-07 14:14:42","125-REGA AL BUTEEN","6984"
"null","416-ند الحمر","2","2024-08-07 14:14:42","416-NAD AL HAMAR","13589"
"null","711-العوير الأولى","670","2024-08-07 14:14:42","711-AL AWEER ONE","4312"
"null","118-نايف","374","2024-08-07 14:14:42","118-NAIF","50090"
"null","334-السطوة","139","2024-08-07 14:14:42","334-AL SATWA","41048"
"null","917-المرموم","489","2024-08-07 14:14:42","917-AL MARMOOM","96"
"null","967-غدير براشي","38","2024-08-07 14:14:42","967-GHADEER BARASHY","7"
"null","353-الصفا الأولى","890","2024-08-07 14:14:42","353-AL SAFFA FIRST","9043"
"null","241-النهدة الثانية","1004","2024-08-07 14:14:42","241-AL NAHDA SECOND","65947"
"null","364-القوز الصناعية الأولى ","72","2024-08-07 14:14:42","364-AL GOZE IND. FIRST ","26569"
"null","373-البرشاء الأولى","312","2024-08-07 14:14:42","373-AL BARSHAA FIRST","39451"
"null","621-ورسان الأولى","487","2024-08-07 14:14:42","621-WARSAN FIRST","106601"
"null","731-لهباب الأولى","674","2024-08-07 14:14:42","731-LEHBAB FIRST","3243"
"null","113-الضغاية","626","2024-08-07 14:14:42","113-AL DHAGAYA","15985"
"null","711-العوير الأولى","1054","2024-08-07 14:14:42","711-AL AWEER ONE","4997"
"null","382-الصفوح الثانية","909","2024-08-07 14:14:42","382-AL SOFOUH SECOND","6609"
"null","121-كورنيش ديرة","880","2024-08-07 14:14:42","121-CORNICHE DEIRA","15"
"null","388-الثنيه الثالثة (تلال الامارات الثانية)","808","2024-08-07 14:14:42","388-AL THANYAH THIRD (EMIRATE HILLS SECOND)","22394"
"null","518-جبل علي الصناعية الثانية","788","2024-08-07 14:14:42","518-JABAL ALI INDUSTRIAL SECOND","28000"
"null","512-حصيان الثانية","12","2024-08-07 14:14:42","512-HESSYAN SECOND","45"
"null","851-رماح","1090","2024-08-07 14:14:42","851-REMAH","195"
"null","245-محيصنة الرابعة","1008","2024-08-07 14:14:42","245-MUHAISANAH FOURTH","36338"
"null","611-بو كدرة","212","2024-08-07 14:14:42","611-BU KADRA","15"
"null","393-الثنيه الخامسة (تلال الامارات الاولى)","936","2024-08-07 14:14:42","393-AL THANYAH FIFTH (EMIRATE HILLS FIRST) ","41745"
"null","376-البرشاء الثانية","310","2024-08-07 14:14:42","376-AL BAESHAA SECOND","15523"
"null","263-المزهر الثانية","826","2024-08-07 14:14:42","263-AL MEZHAR SECOND","11967"
"null","215-ام رمول","184","2024-08-07 14:14:42","215-UM RAMOOL","3545"
"null","812-الرويه الأولى","281","2024-08-07 14:14:42","812-AL ROWAIYAH FIRST","3127"
"null","381-نخلة جميرا ","812","2024-08-07 14:14:42","381-NAKHLAT JUMEIRA ","25050"
"null","123-المطينة","370","2024-08-07 14:14:42","123-AL MUTEENA","46185"
"null","284-الطي","980","2024-08-07 14:14:42","284-AL TTAY","10660"
"null","115-السبخة","781","2024-08-07 14:14:42","115-AL SABKHA","4205"
"null","501-نخلة جبل علي","794","2024-08-07 14:14:42","501-NAKHLAT JABAL ALI","5"
"null","811-ورسان الثالثة","677","2024-08-07 14:14:42","811-WARSAN THIRD","14943"
"null","682-الحبيه الرابعة","665","2024-08-07 14:14:42","682-AL HEBIAH FOURTH","20916"
"null","711-العوير الأولى","720","2024-08-07 14:14:42","711-AL AWEER ONE","4488"
"null","721-العوير الثانية","348","2024-08-07 14:14:42","721-AL AWEER TWO","5236"
"null","343-الوصل","951","2024-08-07 14:14:42","343-AL WASL","12227"
"null","312-السوق الكبير","501","2024-08-07 14:14:42","312-AL SUQ AL KABEER","51293"
"null","317-المنخول","150","2024-08-07 14:14:42","317-AL MANKHOOL","37400"
"null","126-ابو هيل","1124","2024-08-07 14:14:42","126-ABU HAIL","18116"
"null","613-رأس الخور الصناعية الثانية","1024","2024-08-07 14:14:42","613-RAS AL KHOR IND. SECOND","1851"
"null","814-الرويه الثالثة","109","2024-08-07 14:14:42","814-AL ROWAIYAH THIRD","4036"
"null","114-البطين","315","2024-08-07 14:14:42","114-AL BUTEEN","2841"
"null","597-مجمع دبي للإستثمار الثاني","215","2024-08-07 14:14:42","597-DUBAI INVESTMENT PARK2","59763"
"null","127-هورالعنز","1125","2024-08-07 14:14:42","127-HOR AL ANZ","85080"
"null","645-وادي الصفا 3","460","2024-08-07 14:14:42","645-WADI AL SAFA 3","9906"
"null","266-عود المطينة الثانية ","513","2024-08-07 14:14:42","266-OUD AL MUTEEN SECOND ","5647"
"null","355-القوز الثانية","629","2024-08-07 14:14:42","355-AL GOZE SECOND","5354"
"null","857-مرقب","269","2024-08-07 14:14:42","857-MARGAB","628"
"null","513-سيح شعيب 1","13","2024-08-07 14:14:42","513-SAIH SHUAIB 1","9"
"null","622-ورسان الثانية","1031","2024-08-07 14:14:42","622-WARSAN SECOND","1415"
"null","919-اليفره 4","491","2024-08-07 14:14:42","919-AL YUFRAH 4","3"
"null","233-القصيص الثانية","243","2024-08-07 14:14:42","233-AL QUSAIS SECOND","12473"
"null","677-الحبيه السادسة","713","2024-08-07 14:14:42","677-AL HEBIAH SIXTH","2455"
"null","321-مدينه دبي الملاحيه (الميناء)","147","2024-08-07 14:14:42","321-MADINAT DUBAI AL MELAHEYAH (AL MINA)","14129"
"null","988-الليان 2","732","2024-08-07 14:14:42","988-AL LAYAN 2","0"
"null","362-ام سقيم الثانية","634","2024-08-07 14:14:42","362-UM SUQAIM SECOND","12572"
"null","686-معيصم الثانية","346","2024-08-07 14:14:42","686-MEAISEM SECOND","12"
"null","347-المركاض","541","2024-08-07 14:14:42","347-AL MERKADH","1457"
"null","115-السبخة","1114","2024-08-07 14:14:42","115-AL SABKHA","4291"
"null","841-مرغم","26","2024-08-07 14:14:42","841-MARGHAM","930"
"null","611-بو كدرة","479","2024-08-07 14:14:42","611-BU KADRA","2"
"null","735-المريال","725","2024-08-07 14:14:42","735-AL MERYAL","769"
"null","347-المركاض","83","2024-08-07 14:14:42","347-AL MERKADH","819"
"null","112-الرأس","529","2024-08-07 14:14:42","112-AL RASS","7537"
"null","367-ام الشيف","819","2024-08-07 14:14:42","367-UM AL SHEIF","4618"
"null","845-المها","764","2024-08-07 14:14:42","845-AL MAHA","205"
"null","337-زعبيل الثانية","949","2024-08-07 14:14:42","337-ZAABEEL SECOND","8842"
"null","244-محيصنة الثالثة","197","2024-08-07 14:14:42","244-MUHAISANAH THIRD","6129"
"null","613-رأس الخور الصناعية الثانية","210","2024-08-07 14:14:42","613-RAS AL KHOR IND. SECOND","2352"
"null","681-البرشاء جنوب الرابعة","714","2024-08-07 14:14:42","681-AL BARSHA SOUTH FOURTH","29087"
"null","134-الممزر","607","2024-08-07 14:14:42","134-AL MAMZER","15286"
"null","615-ند الشبا الثانية","691","2024-08-07 14:14:42","615-NAD AL SHIBBA SECOND","2569"
"null","304-جزيرة جميرا 2","157","2024-08-07 14:14:42","304-JUMEIRA ISLAND 2","3"
"null","367-ام الشيف","919","2024-08-07 14:14:42","367-UM AL SHEIF","4715"
"null","268-عود المطينة الثالثة","306","2024-08-07 14:14:42","268-OUD AL MUTEEN THIRD ","6679"
"null","674-الحبيه الأولى","660","2024-08-07 14:14:42","674-AL HEBIAH FIRST","10767"
"null","284-الطي","301","2024-08-07 14:14:42","284-AL TTAY","810"
"null","119-الرقة","373","2024-08-07 14:14:42","119-AL REGA","10480"
"null","592-جبل علي الثانية","701","2024-08-07 14:14:42","592-JABAL ALI  SECOND","1008"
"null","263-المزهر الثانية","990","2024-08-07 14:14:42","263-AL MEZHAR SECOND","12239"
"null","133-هور العنز شرق","872","2024-08-07 14:14:42","133-HOR AL ANZ EAST","22026"
"null","735-المريال","284","2024-08-07 14:14:42","735-AL MERYAL","754"
"null","314-ام هرير الأولى","499","2024-08-07 14:14:42","314-UM HURAIR FIRST","5950"
"null","665-وادي الصفا 7 ","706","2024-08-07 14:14:42","665-WADI AL SAFA 7","8957"
"null","123-المطينة","617","2024-08-07 14:14:42","123-AL MUTEENA","46510"
"null","213-ند شما","182","2024-08-07 14:14:42","213-NAD SHAMMA","2964"
"null","335-المركز التجاري الأولى","947","2024-08-07 14:14:42","335-TRADE CENTER FIRST","18014"
"null","918-اليفره 3","751","2024-08-07 14:14:42","918-AL YUFRAH 3","1539"
"null","342-جميرا الثانية","900","2024-08-07 14:14:42","342-JUMEIRA SECOND","10660"
"null","266-عود المطينة الثانية ","167","2024-08-07 14:14:42","266-OUD AL MUTEEN SECOND ","5047"
"null","261-محيصنة الأولى","1014","2024-08-07 14:14:42","261-MUHAISANAH FIRST","8809"
"null","721-العوير الثانية","1055","2024-08-07 14:14:42","721-AL AWEER TWO","6060"
"null","891-حتا","759","2024-08-07 14:14:42","891-HATTA","14985"
"null","533-سيح شعيب 4","1082","2024-08-07 14:14:42","533-SAIH SHUAIB 4","10806"
"null","228-الطوار الثالثة","845","2024-08-07 14:14:42","228-AL TWAR THIRD","11185"
"null","271-وادي العمردي","850","2024-08-07 14:14:42","271-WADI ALAMRADI","3565"
"null","354-القوز الأولى","628","2024-08-07 14:14:42","354-AL GOZE FIRST","20573"
"null","914-أم نهد الرابعة","96","2024-08-07 14:14:42","914-UMM NAHAD FOURTH","4"
"null","261-محيصنة الأولى","518","2024-08-07 14:14:42","261-MUHAISANAH FIRST","8283"
"null","501-نخلة جبل علي","1072","2024-08-07 14:14:42","501-NAKHLAT JABAL ALI","5"
"null","356-ام سقيم الأولى","78","2024-08-07 14:14:42","356-UM SUQAIM FIRST","10867"
"null","368-القوز الصناعية الثالثة ","918","2024-08-07 14:14:42","368-AL GOZE IND. THIRD ","17526"
"null","131-ميناء الحمرية","1128","2024-08-07 14:14:42","131-AL HAMRIYA PORT","507"
"null","266-عود المطينة الثانية ","987","2024-08-07 14:14:42","266-OUD AL MUTEEN SECOND ","5953"
"null","681-البرشاء جنوب الرابعة","1048","2024-08-07 14:14:42","681-AL BARSHA SOUTH FOURTH","29373"
